 2010-05-09,唐山大地震,51315.0
 2010-05-09,婚前试爱,5659.0
 2010-05-16,老男孩,1599.0
 2010-05-23,剑雨,2224.0
 2010-05-23,剑雨,
 2010-05-23,老男孩,1605.0
 2010-05-09,唐山大地震,51876.0
 2010-05-16,X战警-天启,102063.0
 2010-05-16,X战警-天启,102364.0
 2010-05-16,X战警-天启,102163.0
 2010-05-09,婚前试爱,5659.0
 2010-05-16,老男孩,
 2010-05-23,剑雨,2246.0
 2010-05-16,让子弹飞,
 2010-05-16,让子弹飞,
 2010-05-09,婚前试爱,5681.0
 2010-05-16,X战警-天启,102063.0
 2010-05-09,婚前试爱,5653.0
 2010-05-16,X战警-天启,
 2010-05-16,老男孩,1595.0
 2010-05-16,让子弹飞,106652.0
 2010-05-09,唐山大地震,51621.0
 2010-05-09,唐山大地震,51927.0
 2010-05-09,婚前试爱,5620.0
 2010-05-16,X战警-天启,101159.0
 2010-05-16,让子弹飞,
 2010-05-09,唐山大地震,51876.0
 2010-05-09,婚前试爱,5636.0
 2010-05-16,让子弹飞,
 2010-05-09,唐山大地震,51876.0
 2010-05-16,让子弹飞,106652.0
 2010-05-09,唐山大地震,51570.0
 2010-05-16,让子弹飞,106024.0
 2010-05-16,老男孩,
 2010-05-16,X战警-天启,100758.0
 2010-05-23,让子弹飞,106024.0
 2010-05-09,婚前试爱,5586.0
 2010-05-23,剑雨,
 2010-05-09,婚前试爱,5620.0
 2010-05-09,唐山大地震,51162.0
 2010-05-23,老男孩,1595.0
 2010-05-09,唐山大地震,51621.0
 2010-05-23,剑雨,2253.0
 2010-05-23,X战警-天启,101260.0
 2010-05-16,让子弹飞,105397.0
 2010-05-16,X战警-天启,101761.0
 2010-05-16,老男孩,1596.0
 2010-05-09,唐山大地震,
 2010-05-23,剑雨,2250.0
 2010-05-16,X战警-天启,101260.0
 2010-05-09,婚前试爱,
 2010-05-23,剑雨,2246.0
 2010-05-16,X战警-天启,101761.0
 2010-05-09,婚前试爱,
 2010-05-16,让子弹飞,105397.0
 2010-05-16,老男孩,
 2010-05-16,让子弹飞,106547.0
 2010-05-09,唐山大地震,51672.0
 2010-05-16,老男孩,1592.0
 2010-05-16,X战警-天启,102063.0
 2010-05-16,老男孩,1611.0
 2010-05-23,剑雨,2213.0
 2010-05-16,老男孩,1604.0
 2010-05-16,老男孩,1599.0
 2010-05-09,唐山大地震,
 2010-05-23,剑雨,
 2010-05-16,让子弹飞,
 2010-05-09,唐山大地震,51417.0
 2010-05-23,剑雨,
 2010-05-16,老男孩,1607.0
 2010-05-09,婚前试爱,5681.0
 2010-05-23,剑雨,2237.0
 2010-05-09,唐山大地震,51927.0
 2010-05-16,让子弹飞,105188.0
 2010-05-16,X战警-天启,102263.0
 2010-05-16,老男孩,
 2010-05-09,婚前试爱,5625.0
 2010-05-16,让子弹飞,106652.0
 2010-05-16,X战警-天启,
 2010-05-09,婚前试爱,5636.0
 2010-05-16,X战警-天启,
 2010-05-16,让子弹飞,104979.0
 2010-05-09,婚前试爱,
 2010-05-16,老男孩,
 2010-05-09,唐山大地震,51519.0
 2010-05-16,老男孩,1588.0
 2010-05-16,让子弹飞,106233.0
 2010-05-16,老男孩,1590.0
 2010-05-16,X战警-天启,100959.0
 2010-05-09,婚前试爱,5664.0
 2010-05-09,唐山大地震,
 2010-05-16,老男孩,1606.0
 2010-05-23,老男孩,1595.0
 2010-05-23,X战警-天启,100959.0
 